"player","squad","played_per90","pos","goals","assists","gca","sca","passes_under_pressure","passes_crosses","passes_progressive","passes_key","pressures","tot_def","clearances","aerial_won","dribble_success","touches","saves","clean_sheets","passes_40yds_completed","crosses_stopped","outside_area_sweep"
"Lukas Rupp","Norwich City",8.5,"MF",0,0,0,27,71,4,29,9,53,33,4,6,13,495,NULL,NULL,NULL,NULL,NULL
"Łukasz Fabiański","West Ham",37,"GK",0,0,0,3,76,0,0,1,1,0,0,0,0,1078,105,8,241,14,9
"Luke Ayling","Leeds United",25.2,"DF",2,2,3,22,209,25,125,8,137,148,68,49,25,1861,NULL,NULL,NULL,NULL,NULL
"Luke Cundle","Wolves",2,"MF",0,0,0,3,12,0,7,2,9,6,2,0,0,118,NULL,NULL,NULL,NULL,NULL
"Luke Shaw","Manchester Utd",17.8,"DF",0,3,6,64,146,44,78,39,55,68,22,22,10,1321,NULL,NULL,NULL,NULL,NULL
"Luke Thomas","Leicester City",21.2,"DF",0,1,1,20,168,23,73,11,105,126,48,30,14,1523,NULL,NULL,NULL,NULL,NULL
"Lyanco","Southampton",10.1,"DF",0,0,1,9,53,3,19,3,43,71,66,21,6,513,NULL,NULL,NULL,NULL,NULL
"Mads Bech Sørensen","Brentford",9.3,"DF",0,0,0,9,37,19,15,7,29,26,28,14,0,562,NULL,NULL,NULL,NULL,NULL
"Mads Bidstrup","Brentford",0.5,"MF",0,0,0,0,1,0,0,0,8,4,2,0,0,23,NULL,NULL,NULL,NULL,NULL
"Mads Roerslev","Brentford",13.8,"DF",1,1,3,16,46,23,26,9,43,61,30,16,3,497,NULL,NULL,NULL,NULL,NULL
"Malang Sarr","Chelsea",6.1,"DF",0,0,1,7,40,4,20,3,23,25,26,14,0,539,NULL,NULL,NULL,NULL,NULL
"Manuel Lanzini","West Ham",19.8,"MFFW",5,3,10,55,173,12,86,23,95,68,7,7,17,1379,NULL,NULL,NULL,NULL,NULL
"Marc Albrighton","Leicester City",12.6,"FWDF",1,2,2,19,96,31,32,12,63,68,10,6,16,688,NULL,NULL,NULL,NULL,NULL
"Marc Cucurella","Brighton",34.3,"DF",1,1,2,78,328,94,175,43,201,206,66,54,31,2691,NULL,NULL,NULL,NULL,NULL
"Marc Guéhi","Crystal Palace",35.8,"DF",2,1,2,21,178,2,100,5,91,125,139,85,12,2579,NULL,NULL,NULL,NULL,NULL
"Marcos Alonso","Chelsea",24.1,"DF",4,4,9,89,234,64,107,44,85,133,55,59,19,1787,NULL,NULL,NULL,NULL,NULL
"Marcus Forss","Brentford",2.3,"FWMF",0,1,1,2,12,1,5,0,21,7,0,5,2,69,NULL,NULL,NULL,NULL,NULL
"Marcus Rashford","Manchester Utd",13.7,"FWMF",4,2,3,29,77,25,26,9,76,29,6,15,20,589,NULL,NULL,NULL,NULL,NULL
"Mark Noble","West Ham",3.7,"MF",1,0,0,5,25,0,9,2,21,16,3,1,1,305,NULL,NULL,NULL,NULL,NULL
"Martin Dúbravka","Newcastle Utd",26,"GK",0,0,0,2,59,0,0,2,1,0,0,0,0,897,71,8,222,17,9
"Martin Ødegaard","Arsenal",30.9,"MF",7,4,12,134,247,26,158,76,154,65,12,17,22,1870,NULL,NULL,NULL,NULL,NULL
"Martinelli","Arsenal",20.7,"FWMF",6,6,11,70,94,48,31,34,99,81,15,30,31,911,NULL,NULL,NULL,NULL,NULL
"Marvelous Nakamba","Aston Villa",10,"MF",0,0,0,6,49,1,27,3,59,58,16,11,7,476,NULL,NULL,NULL,NULL,NULL
"Mason Greenwood","Manchester Utd",14.1,"FWMF",5,1,7,44,97,25,36,15,40,17,5,6,29,662,NULL,NULL,NULL,NULL,NULL
"Mason Holgate","Everton",23.7,"DF",2,1,1,3,115,3,38,2,78,98,127,76,1,1058,NULL,NULL,NULL,NULL,NULL
"Mason Mount","Chelsea",26.3,"MFFW",11,10,15,111,215,79,122,58,161,72,11,11,22,1576,NULL,NULL,NULL,NULL,NULL
"Matěj Vydra","Burnley",7.5,"FW",2,3,3,12,31,3,4,6,40,16,9,19,5,212,NULL,NULL,NULL,NULL,NULL
"Mateo Kovačić","Chelsea",17.3,"MF",2,5,6,58,155,5,113,26,115,78,13,5,31,1373,NULL,NULL,NULL,NULL,NULL
"Mateusz Klich","Leeds United",23,"MF",1,2,6,68,142,28,93,30,150,81,24,8,19,1244,NULL,NULL,NULL,NULL,NULL
"Mathias Jensen","Brentford",17.8,"MF",0,1,3,57,124,32,69,37,133,94,14,10,12,955,NULL,NULL,NULL,NULL,NULL
"Mathias Jørgensen","Brentford",5.8,"DF",1,0,0,6,32,8,17,2,13,20,14,18,0,382,NULL,NULL,NULL,NULL,NULL
"Mathias Normann","Norwich City",18.3,"MF",1,2,3,34,120,15,67,13,66,75,43,32,20,991,NULL,NULL,NULL,NULL,NULL
"Matt Doherty","Tottenham",9.7,"DF",2,4,4,23,72,20,36,14,42,53,15,17,6,644,NULL,NULL,NULL,NULL,NULL
"Matt Ritchie","Newcastle Utd",14.9,"DF",0,2,3,40,74,45,48,29,47,65,26,14,3,827,NULL,NULL,NULL,NULL,NULL
"Matt Targett","Aston Villa",15.9,"DF",1,1,1,27,100,41,94,22,44,94,25,31,1,965,NULL,NULL,NULL,NULL,NULL
"Matt Targett","Newcastle Utd",16,"DF",0,0,1,34,98,30,52,20,56,76,43,24,9,938,NULL,NULL,NULL,NULL,NULL
"Matthew Lowton","Burnley",19.7,"DF",1,2,2,33,91,39,80,14,61,105,68,31,9,1077,NULL,NULL,NULL,NULL,NULL
"Matty Cash","Aston Villa",37.5,"DF",4,3,7,54,165,94,91,25,142,225,95,44,21,2069,NULL,NULL,NULL,NULL,NULL
"Max Aarons","Norwich City",32,"DF",0,2,5,38,173,45,94,19,113,179,69,15,33,1854,NULL,NULL,NULL,NULL,NULL
"Max Kilman","Wolves",29.9,"DF",1,0,1,9,153,2,92,2,92,149,118,86,13,1778,NULL,NULL,NULL,NULL,NULL
"Maxwel Cornet","Burnley",19.6,"FWMF",9,1,6,27,118,22,23,14,84,36,16,40,13,681,NULL,NULL,NULL,NULL,NULL
"Michael Keane","Everton",31,"DF",3,2,1,14,179,0,73,4,93,148,149,121,5,1486,NULL,NULL,NULL,NULL,NULL
"Michael Olise","Crystal Palace",12.7,"FWMF",2,5,7,38,94,48,65,24,69,50,9,9,24,832,NULL,NULL,NULL,NULL,NULL
"Michail Antonio","West Ham",33,"FW",10,8,17,102,220,54,43,46,133,63,17,81,45,1190,NULL,NULL,NULL,NULL,NULL
"Miguel Almirón","Newcastle Utd",19.1,"MFFW",1,0,5,45,86,22,38,16,109,80,12,5,18,742,NULL,NULL,NULL,NULL,NULL
